historico,natureza
"Estava caminhando na rua quando fui abordado por um homem que me ameaçou e exigiu minha bolsa, depois saiu correndo.","roubo a transeunte"
"Enquanto andava tranquilamente, um indivíduo surgiu de repente, me intimidou e ordenou que eu entregasse minha bolsa, fugindo em seguida.","roubo a transeunte"
"Seguia para o trabalho quando um homem me parou, fez ameaças e levou minha bolsa antes de escapar.","roubo a transeunte"
"Durante uma caminhada, fui surpreendido por um sujeito que me obrigou a entregar a bolsa e correu logo depois.","roubo a transeunte"
"Estava voltando para casa quando um rapaz me ameaçou, exigiu minha bolsa e desapareceu na rua seguinte.","roubo a transeunte"
"Enquanto andava no bairro, um homem me abordou, apontou algo que parecia ser uma arma e me fez entregar minha bolsa antes de fugir.","roubo a transeunte"
"Caminhava distraído quando um indivíduo me intimidou, mandou eu entregar minha bolsa e depois sumiu.","roubo a transeunte"
"Estava indo ao mercado quando fui parado por um homem que gritou ameaças, pegou minha bolsa e correu para longe.","roubo a transeunte"
"Passeava pela calçada quando um sujeito agressivo me forçou a entregar a bolsa e se afastou rapidamente.","roubo a transeunte"
"Estava andando à noite quando um indivíduo se aproximou, fez menção de estar armado e me mandou entregar a bolsa antes de fugir.","roubo a transeunte"
"Caminhava distraído no parque quando um homem apareceu, exigiu minha bolsa sob ameaça e correu para fora do local.","roubo a transeunte"
"Enquanto seguia pela avenida, um rapaz me abordou de forma violenta, ordenou que eu entregasse a bolsa e escapou em seguida.","roubo a transeunte"
"Voltando do trabalho, fui surpreendido por um homem que me ameaçou verbalmente, tomou minha bolsa e fugiu rapidamente.","roubo a transeunte"
"Estava atravessando a rua quando um indivíduo me segurou, fez ameaças para eu dar a bolsa e se afastou correndo.","roubo a transeunte"
"Caminhava de manhã cedo quando um homem me encurralou, exigiu minha bolsa e correu antes que eu reagisse.","roubo a transeunte"
"Enquanto me dirigia ao ponto de ônibus, um sujeito surgiu, fez ameaças e pegou minha bolsa antes de desaparecer.","roubo a transeunte"
"Estava andando no bairro quando um indivíduo se aproximou, apontou uma arma e exigiu minha bolsa, fugindo logo depois.","roubo a transeunte"
"Passeava pela rua quando um homem me abordou de forma agressiva, pediu minha bolsa sob ameaça e saiu correndo.","roubo a transeunte"
"Voltando do mercado, fui surpreendido por um sujeito que me intimidou, mandou eu entregar a bolsa e sumiu rapidamente.","roubo a transeunte"
"Estava caminhando após o trabalho quando um rapaz me ameaçou, exigiu minha bolsa e fugiu para uma rua lateral.","roubo a transeunte"
"Enquanto fazia uma caminhada, um homem apareceu, me obrigou a entregar a bolsa sob ameaças e desapareceu na multidão.","roubo a transeunte"
"Estava indo encontrar um amigo quando fui parado por um indivíduo, que me coagiu a dar minha bolsa e saiu em disparada.","roubo a transeunte"
"Enquanto caminhava à tarde, um homem me encurralou contra a parede, exigiu a bolsa e fugiu rapidamente depois disso.","roubo a transeunte"
"Seguia pela calçada quando um sujeito agressivo me mandou entregar a bolsa e correu em direção oposta.","roubo a transeunte"
"Estava andando pelo quarteirão quando um homem veio em minha direção, ameaçou-me e levou minha bolsa antes de sumir.","roubo a transeunte"
"Passeava na avenida principal quando um indivíduo me bloqueou a passagem, exigiu minha bolsa e fugiu em seguida.","roubo a transeunte"
"Enquanto atravessava o parque, fui abordado por um rapaz que me coagiu a entregar a bolsa e desapareceu rapidamente.","roubo a transeunte"
"Estava caminhando de noite quando um homem se aproximou com palavras de ameaça, exigiu minha bolsa e saiu correndo.","roubo a transeunte"
"Durante meu trajeto diário, um sujeito me abordou, fez menção de estar armado e levou minha bolsa, fugindo logo depois.","roubo a transeunte"
"Estava indo para casa quando um indivíduo me parou, proferiu ameaças para que eu entregasse minha bolsa e sumiu.","roubo a transeunte"
"Enquanto andava pela calçada, um homem surgiu do nada, me intimidou com ameaças verbais e fugiu com minha bolsa.","roubo a transeunte"
